Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,pop2010,popDensity2010
,,,,,
Bronx,005,2,000100,"11,091",28.4
Bronx,005,2,000200,"4,334",38.5
Bronx,005,2,000400,"5,503",24.4
Bronx,005,2,001600,"5,643",47.1
Bronx,005,2,001900,"1,917",4.7
Bronx,005,2,002000,"8,731",89.3
Bronx,005,2,002300,"4,933",191.0
Bronx,005,2,002400,4,0.0
Bronx,005,2,002500,"5,491",174.1
Bronx,005,2,002701,"3,113",151.6
Bronx,005,2,002702,"4,475",115.1
Bronx,005,2,002800,"5,586",54.1
Bronx,005,2,003100,"1,597",41.4
Bronx,005,2,003300,"3,413",91.6
Bronx,005,2,003500,"3,761",107.2
Bronx,005,2,003700,245,5.9
Bronx,005,2,003800,"1,264",80.7
Bronx,005,2,003900,"6,475",121.2
Bronx,005,2,004001,"1,420",46.7
Bronx,005,2,004100,"6,127",134.2
Bronx,005,2,004200,"7,143",59.8
Bronx,005,2,004300,"5,056",90.8
Bronx,005,2,004400,"4,797",73.7
Bronx,005,2,004600,"1,555",46.5
Bronx,005,2,004800,"3,883",105.9
Bronx,005,2,005001,"4,767",197.1
Bronx,005,2,005002,"5,823",206.9
Bronx,005,2,005100,"5,810",48.1
Bronx,005,2,005200,"2,031",45.0
Bronx,005,2,005300,"4,669",281.3
Bronx,005,2,005400,"5,853",118.6
Bronx,005,2,005600,"2,711",80.6
Bronx,005,2,005902,"2,582",148.6
Bronx,005,2,006000,"1,129",14.0
Bronx,005,2,006100,"3,713",62.0
Bronx,005,2,006200,"6,585",138.1
Bronx,005,2,006300,"5,280",20.8
Bronx,005,2,006400,"3,967",97.7
Bronx,005,2,006500,"5,337",82.3
Bronx,005,2,006700,"6,984",133.1
Bronx,005,2,006800,"2,897",75.0
Bronx,005,2,006900,"7,564",162.8
Bronx,005,2,007000,"4,584",90.5
Bronx,005,2,007100,"1,907",29.2
Bronx,005,2,007200,"5,432",103.4
Bronx,005,2,007300,"3,893",112.4
Bronx,005,2,007400,"3,710",80.2
Bronx,005,2,007500,"4,869",86.5
Bronx,005,2,007600,"5,190",96.7
Bronx,005,2,007700,"1,927",69.1
Bronx,005,2,007800,"6,418",84.5
Bronx,005,2,007900,"6,733",137.7
Bronx,005,2,008300,"6,155",116.4
Bronx,005,2,008400,"2,374",61.3
Bronx,005,2,008500,"5,457",121.6
Bronx,005,2,008600,"4,176",90.1
Bronx,005,2,008700,"5,466",103.6
Bronx,005,2,008900,"3,177",117.4
Bronx,005,2,009000,"3,667",15.3
Bronx,005,2,009200,"5,017",65.8
Bronx,005,2,009300,"6,356",11.2
Bronx,005,2,009600,"2,594",15.0
Bronx,005,2,009800,"5,038",39.5
Bronx,005,2,011000,151,0.3
Bronx,005,2,011502,"4,340",51.3
Bronx,005,2,011700,"1,585",4.7
Bronx,005,2,011800,"5,089",19.0
Bronx,005,2,011900,"5,698",139.2
Bronx,005,2,012101,"3,090",107.5
Bronx,005,2,012102,"1,631",130.0
Bronx,005,2,012300,"4,152",57.7
Bronx,005,2,012500,"3,905",93.6
Bronx,005,2,012701,"2,253",84.7
Bronx,005,2,012901,"4,015",103.9
Bronx,005,2,013000,"1,032",36.0
Bronx,005,2,013100,"5,103",88.9
Bronx,005,2,013200,"5,890",39.5
Bronx,005,2,013300,"6,384",160.3
Bronx,005,2,013500,"3,583",86.6
Bronx,005,2,013800,"3,042",16.2
Bronx,005,2,014100,"3,437",78.5
Bronx,005,2,014300,"1,003",31.3
Bronx,005,2,014400,"5,880",61.5
Bronx,005,2,014500,"5,816",129.7
Bronx,005,2,014701,"6,461",188.2
Bronx,005,2,014702,"5,110",177.8
Bronx,005,2,014900,"4,591",119.7
Bronx,005,2,015100,"5,409",104.5
Bronx,005,2,015200,"2,341",31.2
Bronx,005,2,015300,"4,031",69.9
Bronx,005,2,015500,"3,005",102.4
Bronx,005,2,015700,"3,580",45.3
Bronx,005,2,015800,"1,206",29.9
Bronx,005,2,015900,"2,164",84.7
Bronx,005,2,016000,"3,767",30.8
Bronx,005,2,016100,"4,380",73.5
Bronx,005,2,016200,"1,769",39.6
Bronx,005,2,016300,0,0.0
Bronx,005,2,016400,"1,141",28.1
Bronx,005,2,016500,"1,077",23.2
Bronx,005,2,016600,"2,166",29.0
Bronx,005,2,016700,"2,047",39.8
Bronx,005,2,016900,"1,663",72.4
Bronx,005,2,017100,0,0.0
Bronx,005,2,017300,"5,987",146.6
Bronx,005,2,017500,"6,911",184.5
Bronx,005,2,017701,"4,294",163.0
Bronx,005,2,017702,"4,805",138.2
Bronx,005,2,017901,"4,677",246.7
Bronx,005,2,017902,"3,587",187.2
Bronx,005,2,018101,"3,300",173.0
Bronx,005,2,018102,"5,555",233.2
Bronx,005,2,018301,"4,525",269.8
Bronx,005,2,018302,"3,647",131.4
Bronx,005,2,018400,"3,855",35.0
Bronx,005,2,018500,"7,466",73.3
Bronx,005,2,018900,"7,752",89.7
Bronx,005,2,019300,"5,461",92.5
Bronx,005,2,019400,"1,903",8.8
Bronx,005,2,019500,"7,756",142.8
Bronx,005,2,019700,"7,501",205.1
Bronx,005,2,019900,"8,154",186.0
Bronx,005,2,020000,"4,878",56.3
Bronx,005,2,020100,"4,013",56.9
Bronx,005,2,020200,"2,155",69.9
Bronx,005,2,020400,"2,976",88.9
Bronx,005,2,020501,"6,996",103.4
Bronx,005,2,020502,"1,764",68.6
Bronx,005,2,020601,"3,050",82.1
Bronx,005,2,020900,"4,361",133.2
Bronx,005,2,021001,"8,521",179.2
Bronx,005,2,021002,"6,839",160.2
Bronx,005,2,021100,"5,565",148.1
Bronx,005,2,021200,"5,267",212.4
Bronx,005,2,021301,"1,201",72.5
Bronx,005,2,021302,"5,415",132.8
Bronx,005,2,021501,"3,506",158.1
Bronx,005,2,021502,"6,051",157.5
Bronx,005,2,021601,"4,206",103.7
Bronx,005,2,021602,"5,769",140.7
Bronx,005,2,021700,"5,334",134.7
Bronx,005,2,021800,"6,499",82.0
Bronx,005,2,021900,"1,367",39.1
Bronx,005,2,022000,"1,487",25.9
Bronx,005,2,022101,"3,849",227.2
Bronx,005,2,022102,"5,488",279.3
Bronx,005,2,022200,"3,425",62.6
Bronx,005,2,022300,"5,047",223.1
Bronx,005,2,022401,"2,708",129.1
Bronx,005,2,022403,"3,188",103.3
Bronx,005,2,022404,"4,509",196.8
Bronx,005,2,022500,"7,698",173.7
Bronx,005,2,022701,"5,196",179.7
Bronx,005,2,022702,"1,699",142.7
Bronx,005,2,022703,"1,556",151.7
Bronx,005,2,022800,"6,218",146.1
Bronx,005,2,022901,"5,370",181.7
Bronx,005,2,022902,"3,273",140.8
Bronx,005,2,023000,"2,950",74.9
Bronx,005,2,023100,"1,537",50.9
Bronx,005,2,023200,"2,661",75.5
Bronx,005,2,023301,"4,377",147.3
Bronx,005,2,023302,"3,415",211.8
Bronx,005,2,023501,"3,341",203.1
Bronx,005,2,023502,"4,386",186.2
Bronx,005,2,023600,"1,907",83.7
Bronx,005,2,023702,"1,241",105.5
Bronx,005,2,023703,"5,253",211.3
Bronx,005,2,023704,"3,758",225.4
Bronx,005,2,023800,"2,615",31.0
Bronx,005,2,023900,"8,348",190.9
Bronx,005,2,024000,"3,882",65.7
Bronx,005,2,024100,"6,182",186.0
Bronx,005,2,024300,"5,685",152.0
Bronx,005,2,024400,"2,120",49.3
Bronx,005,2,024501,"4,864",176.9
Bronx,005,2,024502,"3,640",146.5
Bronx,005,2,024600,"2,058",54.6
Bronx,005,2,024700,"1,764",51.0
Bronx,005,2,024800,"3,363",49.0
Bronx,005,2,024900,0,0.0
Bronx,005,2,025000,"2,383",53.1
Bronx,005,2,025100,"6,802",132.3
Bronx,005,2,025200,"2,530",53.7
Bronx,005,2,025300,"6,332",204.1
Bronx,005,2,025400,"1,959",46.7
Bronx,005,2,025500,"6,529",151.5
Bronx,005,2,025600,"1,663",35.6
Bronx,005,2,025700,"1,912",49.2
Bronx,005,2,026100,"1,932",45.1
Bronx,005,2,026300,"6,984",177.9
Bronx,005,2,026400,"4,935",46.9
Bronx,005,2,026500,"6,942",140.5
Bronx,005,2,026601,"2,911",70.0
Bronx,005,2,026602,"5,301",70.3
Bronx,005,2,026701,"4,037",228.9
Bronx,005,2,026702,"7,040",172.1
Bronx,005,2,026900,"3,777",39.7
Bronx,005,2,027300,"7,942",150.7
Bronx,005,2,027401,"4,785",27.5
Bronx,005,2,027402,"3,386",28.2
Bronx,005,2,027600,473,1.3
Bronx,005,2,027700,"5,065",119.2
Bronx,005,2,027900,"6,966",106.5
Bronx,005,2,028100,"3,794",119.2
Bronx,005,2,028300,"3,149",53.6
Bronx,005,2,028400,894,3.2
Bronx,005,2,028500,"3,307",50.4
Bronx,005,2,028600,"1,191",25.1
Bronx,005,2,028700,"3,178",82.8
Bronx,005,2,028800,"3,097",37.3
Bronx,005,2,028900,"4,502",91.9
Bronx,005,2,029301,"1,875",26.2
Bronx,005,2,029302,"5,052",48.2
Bronx,005,2,029500,"4,240",73.6
Bronx,005,2,029600,"2,549",14.2
Bronx,005,2,029700,"3,554",59.8
Bronx,005,2,030000,"5,838",56.9
Bronx,005,2,030100,"1,304",36.6
Bronx,005,2,030200,"8,887",81.0
Bronx,005,2,030701,"5,378",55.8
Bronx,005,2,030900,"3,891",11.5
Bronx,005,2,031000,"4,415",28.2
Bronx,005,2,031200,"1,524",30.4
Bronx,005,2,031400,"1,966",37.8
Bronx,005,2,031600,"1,863",42.6
Bronx,005,2,031800,"1,810",41.1
Bronx,005,2,031900,751,14.3
Bronx,005,2,032300,"4,904",35.9
Bronx,005,2,032400,"2,957",44.6
Bronx,005,2,032600,"3,154",38.5
Bronx,005,2,032800,"3,979",78.7
Bronx,005,2,033000,"5,696",111.8
Bronx,005,2,033201,"4,115",146.0
Bronx,005,2,033202,"4,167",146.4
Bronx,005,2,033400,"1,351",1.8
Bronx,005,2,033500,"2,178",12.7
Bronx,005,2,033600,"6,188",135.8
Bronx,005,2,033700,"2,357",22.0
Bronx,005,2,033800,"3,818",95.7
Bronx,005,2,034000,"4,618",118.0
Bronx,005,2,034200,"1,675",43.2
Bronx,005,2,034300,"1,649",55.0
Bronx,005,2,034400,"1,736",44.7
Bronx,005,2,034500,"3,566",53.1
Bronx,005,2,034800,"6,129",56.7
Bronx,005,2,035000,"1,925",40.7
Bronx,005,2,035100,"3,186",22.9
Bronx,005,2,035600,"2,027",20.5
Bronx,005,2,035800,"7,166",44.4
Bronx,005,2,035900,"2,061",66.1
Bronx,005,2,036000,"2,706",41.1
Bronx,005,2,036100,"6,019",150.1
Bronx,005,2,036300,"7,509",136.3
Bronx,005,2,036400,"2,557",51.2
Bronx,005,2,036501,"3,965",170.2
Bronx,005,2,036502,"2,423",99.9
Bronx,005,2,036700,"2,599",113.3
Bronx,005,2,036800,"2,011",48.0
Bronx,005,2,036901,"2,005",86.6
Bronx,005,2,036902,"2,119",125.7
Bronx,005,2,037000,"2,303",58.7
Bronx,005,2,037100,"4,241",86.6
Bronx,005,2,037200,"2,222",48.2
Bronx,005,2,037300,"5,318",124.1
Bronx,005,2,037400,"3,441",83.4
Bronx,005,2,037504,"3,677",62.2
Bronx,005,2,037600,"2,148",68.8
Bronx,005,2,037800,"3,048",95.0
Bronx,005,2,037900,"5,093",107.2
Bronx,005,2,038000,"4,585",86.2
Bronx,005,2,038100,"6,382",173.1
Bronx,005,2,038200,"2,596",66.9
Bronx,005,2,038301,"4,797",204.1
Bronx,005,2,038302,"6,106",170.3
Bronx,005,2,038500,"4,758",100.8
Bronx,005,2,038600,"7,409",73.2
Bronx,005,2,038700,"3,216",71.0
Bronx,005,2,038800,"2,606",71.0
Bronx,005,2,038900,"5,325",124.1
Bronx,005,2,039000,"2,975",66.3
Bronx,005,2,039100,"6,992",137.1
Bronx,005,2,039200,"1,781",75.0
Bronx,005,2,039300,"8,143",180.6
Bronx,005,2,039400,"4,573",127.5
Bronx,005,2,039500,"4,146",40.9
Bronx,005,2,039600,"3,756",68.1
Bronx,005,2,039700,"3,702",28.7
Bronx,005,2,039800,"3,090",61.9
Bronx,005,2,039901,"5,228",138.3
Bronx,005,2,039902,"5,279",174.2
Bronx,005,2,040100,"4,593",109.1
Bronx,005,2,040302,"4,386",282.8
Bronx,005,2,040303,"4,478",208.6
Bronx,005,2,040304,"3,794",228.0
Bronx,005,2,040400,"3,016",56.7
Bronx,005,2,040501,"4,397",219.3
Bronx,005,2,040502,"6,863",196.6
Bronx,005,2,040600,"3,490",63.2
Bronx,005,2,040701,"3,347",232.6
Bronx,005,2,040702,"6,652",148.0
Bronx,005,2,040800,"4,263",136.9
Bronx,005,2,040900,"3,637",17.9
Bronx,005,2,041100,"2,931",98.2
Bronx,005,2,041300,"7,384",172.0
Bronx,005,2,041400,"5,027",38.9
Bronx,005,2,041500,"5,461",162.3
Bronx,005,2,041800,"3,598",54.1
Bronx,005,2,041900,"6,734",83.4
Bronx,005,2,042000,"3,850",103.5
Bronx,005,2,042100,"5,922",96.3
Bronx,005,2,042200,"3,086",71.6
Bronx,005,2,042300,"4,100",91.6
Bronx,005,2,042400,"2,481",57.3
Bronx,005,2,042500,"6,793",94.5
Bronx,005,2,042600,"6,387",50.9
Bronx,005,2,042800,"2,173",52.0
Bronx,005,2,042901,"3,420",135.3
Bronx,005,2,042902,"3,845",161.7
Bronx,005,2,043000,"2,898",56.9
Bronx,005,2,043100,"9,680",182.7
Bronx,005,2,043400,"3,592",41.4
Bronx,005,2,043500,39,0.0
Bronx,005,2,043600,"2,032",53.2
Bronx,005,2,044200,"3,555",60.2
Bronx,005,2,044400,"3,878",43.0
Bronx,005,2,044800,"2,026",48.8
Bronx,005,2,044901,"1,818",46.5
Bronx,005,2,044902,"1,949",50.3
Bronx,005,2,045101,"1,656",38.3
Bronx,005,2,045102,"1,894",37.0
Bronx,005,2,045600,"2,896",14.2
Bronx,005,2,045800,"6,123",103.4
Bronx,005,2,046000,"2,741",38.5
Bronx,005,2,046201,"26,588",51.7
Bronx,005,2,046202,"8,277",35.4
Bronx,005,2,048400,"3,598",20.8
Bronx,005,2,050400,39,0.0
Bronx,005,2,051600,"4,362",10.8
Brooklyn,047,3,000100,"4,338",78.6
Brooklyn,047,3,000200,"1,470",20.4
Brooklyn,047,3,000301,"4,259",80.2
Brooklyn,047,3,000501,"4,247",205.3
Brooklyn,047,3,000502,"2,512",105.0
Brooklyn,047,3,000700,"3,359",78.0
Brooklyn,047,3,000900,"4,172",104.6
Brooklyn,047,3,001100,84,2.0
Brooklyn,047,3,001300,"2,275",31.5
Brooklyn,047,3,001500,"3,521",46.6
Brooklyn,047,3,001800,"2,105",3.6
Brooklyn,047,3,002000,"1,672",43.9
Brooklyn,047,3,002100,"3,604",29.5
Brooklyn,047,3,002200,"4,613",55.6
Brooklyn,047,3,002300,"4,247",94.4
Brooklyn,047,3,002901,"3,218",125.6
Brooklyn,047,3,003000,"1,730",62.5
Brooklyn,047,3,003100,"2,472",34.7
Brooklyn,047,3,003300,"2,327",57.2
Brooklyn,047,3,003400,"3,047",26.2
Brooklyn,047,3,003500,"1,554",47.3
Brooklyn,047,3,003600,"3,804",122.9
Brooklyn,047,3,003700,390,9.4
Brooklyn,047,3,003800,"1,498",46.5
Brooklyn,047,3,003900,"2,229",57.5
Brooklyn,047,3,004100,"3,598",89.9
Brooklyn,047,3,004300,"3,008",73.2
Brooklyn,047,3,004400,"2,359",22.2
Brooklyn,047,3,004500,"3,325",78.9
Brooklyn,047,3,004600,"1,199",16.2
Brooklyn,047,3,004700,"1,445",17.7
Brooklyn,047,3,004900,"2,516",104.4
Brooklyn,047,3,005000,"2,276",37.8
Brooklyn,047,3,005100,"2,171",48.4
Brooklyn,047,3,005201,"1,829",51.6
Brooklyn,047,3,005202,"2,481",67.8
Brooklyn,047,3,005300,"1,888",4.6
Brooklyn,047,3,005400,"3,139",76.2
Brooklyn,047,3,005601,"2,505",56.5
Brooklyn,047,3,005602,"1,586",39.3
Brooklyn,047,3,005800,"3,152",66.0
Brooklyn,047,3,005900,"1,384",15.7
Brooklyn,047,3,006000,"2,826",75.1
Brooklyn,047,3,006200,"2,853",71.1
Brooklyn,047,3,006300,"1,892",75.9
Brooklyn,047,3,006400,"3,478",69.3
Brooklyn,047,3,006500,"5,191",83.7
Brooklyn,047,3,006600,"3,663",96.4
Brooklyn,047,3,006700,"3,301",85.6
Brooklyn,047,3,006800,"4,870",106.2
Brooklyn,047,3,006900,"3,537",79.9
Brooklyn,047,3,007000,"2,344",64.4
Brooklyn,047,3,007100,"4,495",108.6
Brooklyn,047,3,007200,"1,946",119.8
Brooklyn,047,3,007400,"5,451",153.5
Brooklyn,047,3,007500,"4,383",62.7
Brooklyn,047,3,007600,"4,412",128.7
Brooklyn,047,3,007700,"3,901",40.3
Brooklyn,047,3,007800,"5,068",148.5
Brooklyn,047,3,008000,"4,169",124.6
Brooklyn,047,3,008200,"4,141",124.4
Brooklyn,047,3,008400,"3,299",56.2
Brooklyn,047,3,008500,"6,956",115.6
Brooklyn,047,3,008600,0,0.0
Brooklyn,047,3,008800,"3,207",68.5
Brooklyn,047,3,009000,"2,994",81.6
Brooklyn,047,3,009200,"5,388",192.6
Brooklyn,047,3,009400,"5,805",155.5
Brooklyn,047,3,009600,"6,126",164.5
Brooklyn,047,3,009800,"7,024",188.3
Brooklyn,047,3,010000,"6,737",180.6
Brooklyn,047,3,010100,"4,093",53.5
Brooklyn,047,3,010200,"5,622",149.2
Brooklyn,047,3,010400,"5,908",157.0
Brooklyn,047,3,010600,"5,851",156.9
Brooklyn,047,3,010800,"5,280",141.5
Brooklyn,047,3,011000,"2,441",62.5
Brooklyn,047,3,011200,"6,436",152.0
Brooklyn,047,3,011400,"3,976",95.9
Brooklyn,047,3,011600,"4,816",121.6
Brooklyn,047,3,011700,"2,364",47.2
Brooklyn,047,3,011800,"2,253",41.6
Brooklyn,047,3,011900,"1,530",9.4
Brooklyn,047,3,012000,"1,268",26.6
Brooklyn,047,3,012100,"1,619",44.2
Brooklyn,047,3,012200,"5,339",112.9
Brooklyn,047,3,012600,"2,652",47.4
Brooklyn,047,3,012700,"3,507",86.9
Brooklyn,047,3,012801,"2,117",74.5
Brooklyn,047,3,012901,"2,159",63.8
Brooklyn,047,3,012902,"1,964",62.5
Brooklyn,047,3,013000,"4,792",109.9
Brooklyn,047,3,013100,"3,828",99.1
Brooklyn,047,3,013200,"2,239",58.6
Brooklyn,047,3,013300,"3,730",101.6
Brooklyn,047,3,013400,"3,907",58.9
Brooklyn,047,3,013500,"3,596",95.8
Brooklyn,047,3,013600,"3,927",73.6
Brooklyn,047,3,013700,"3,057",81.2
Brooklyn,047,3,013800,"3,168",78.9
Brooklyn,047,3,013900,"3,481",93.1
Brooklyn,047,3,014000,"1,826",50.5
Brooklyn,047,3,014100,"3,017",73.8
Brooklyn,047,3,014200,"3,223",64.7
Brooklyn,047,3,014300,"3,487",65.0
Brooklyn,047,3,014500,"4,179",77.4
Brooklyn,047,3,014700,"2,084",78.0
Brooklyn,047,3,014800,"1,209",36.7
Brooklyn,047,3,014900,"4,976",81.5
Brooklyn,047,3,015000,"1,574",47.7
Brooklyn,047,3,015100,"3,578",97.0
Brooklyn,047,3,015200,"2,309",35.0
Brooklyn,047,3,015300,"3,041",81.8
Brooklyn,047,3,015400,0,0.0
Brooklyn,047,3,015500,"3,272",88.5
Brooklyn,047,3,015700,"4,135",100.0
Brooklyn,047,3,015900,"5,036",81.3
Brooklyn,047,3,016000,"4,217",65.9
Brooklyn,047,3,016100,"3,075",68.2
Brooklyn,047,3,016200,"2,082",34.9
Brooklyn,047,3,016300,"2,991",65.8
Brooklyn,047,3,016400,764,3.9
Brooklyn,047,3,016500,"5,141",111.6
Brooklyn,047,3,016600,"2,059",31.2
Brooklyn,047,3,016700,"4,638",111.1
Brooklyn,047,3,016800,"1,510",35.6
Brooklyn,047,3,016900,"4,497",86.9
Brooklyn,047,3,017000,"3,254",63.0
Brooklyn,047,3,017100,"3,749",72.9
Brooklyn,047,3,017200,"2,931",57.5
Brooklyn,047,3,017400,"1,793",42.6
Brooklyn,047,3,017500,5,0.0
Brooklyn,047,3,017600,"2,295",65.2
Brooklyn,047,3,017700,0,0.0
Brooklyn,047,3,017800,"2,898",71.5
Brooklyn,047,3,017900,"3,624",92.3
Brooklyn,047,3,018000,"3,193",73.4
Brooklyn,047,3,018100,"3,936",94.3
Brooklyn,047,3,018200,"3,163",77.4
Brooklyn,047,3,018300,"2,500",73.7
Brooklyn,047,3,018400,"2,002",54.3
Brooklyn,047,3,018501,"3,827",148.0
Brooklyn,047,3,018600,"2,124",76.0
Brooklyn,047,3,018700,"1,411",70.6
Brooklyn,047,3,018800,"2,640",61.0
Brooklyn,047,3,019000,"4,782",90.9
Brooklyn,047,3,019100,"2,332",37.7
Brooklyn,047,3,019200,"2,772",59.1
Brooklyn,047,3,019300,"5,628",84.4
Brooklyn,047,3,019400,"3,305",75.0
Brooklyn,047,3,019500,"3,366",99.4
Brooklyn,047,3,019600,"4,353",93.6
Brooklyn,047,3,019700,"3,313",78.9
Brooklyn,047,3,019800,"1,702",51.1
Brooklyn,047,3,019900,"2,929",62.7
Brooklyn,047,3,020000,"2,265",68.0
Brooklyn,047,3,020100,"3,421",78.9
Brooklyn,047,3,020200,"1,874",56.2
Brooklyn,047,3,020300,"1,697",48.8
Brooklyn,047,3,020400,"1,708",51.3
Brooklyn,047,3,020500,"2,469",62.6
Brooklyn,047,3,020600,"2,220",52.7
Brooklyn,047,3,020700,"4,310",125.7
Brooklyn,047,3,020800,"3,048",86.1
Brooklyn,047,3,021000,"3,968",107.0
Brooklyn,047,3,021100,"1,210",25.4
Brooklyn,047,3,021200,"4,643",98.5
Brooklyn,047,3,021300,"4,205",92.4
Brooklyn,047,3,021400,"2,152",51.8
Brooklyn,047,3,021500,"5,307",139.0
Brooklyn,047,3,021600,"4,015",96.6
Brooklyn,047,3,021700,"3,597",121.6
Brooklyn,047,3,021800,"3,761",96.4
Brooklyn,047,3,021900,"3,595",98.9
Brooklyn,047,3,022000,"4,939",102.9
Brooklyn,047,3,022100,"3,609",97.4
Brooklyn,047,3,022200,"4,693",107.8
Brooklyn,047,3,022400,"5,486",126.5
Brooklyn,047,3,022600,"2,516",65.2
Brooklyn,047,3,022700,"3,454",58.1
Brooklyn,047,3,022800,"3,306",79.9
Brooklyn,047,3,022900,"3,395",80.0
Brooklyn,047,3,023000,"4,515",121.0
Brooklyn,047,3,023100,"3,025",76.8
Brooklyn,047,3,023200,"5,699",101.9
Brooklyn,047,3,023300,"5,061",119.2
Brooklyn,047,3,023400,"5,059",120.6
Brooklyn,047,3,023500,"3,928",112.3
Brooklyn,047,3,023600,"5,600",133.4
Brooklyn,047,3,023800,"4,590",109.3
Brooklyn,047,3,024000,"4,693",111.9
Brooklyn,047,3,024100,"2,229",50.1
Brooklyn,047,3,024200,"2,984",63.1
Brooklyn,047,3,024300,"3,786",99.3
Brooklyn,047,3,024400,"3,238",84.4
Brooklyn,047,3,024500,"3,946",95.7
Brooklyn,047,3,024600,"3,256",76.2
Brooklyn,047,3,024700,"2,316",51.5
Brooklyn,047,3,024800,"2,698",62.0
Brooklyn,047,3,024900,"3,823",91.8
Brooklyn,047,3,025000,"1,722",40.2
Brooklyn,047,3,025100,"3,816",111.5
Brooklyn,047,3,025200,"4,786",106.9
Brooklyn,047,3,025300,"2,754",68.9
Brooklyn,047,3,025400,"3,500",80.7
Brooklyn,047,3,025500,"5,102",148.9
Brooklyn,047,3,025600,"3,058",71.4
Brooklyn,047,3,025700,"2,131",47.6
Brooklyn,047,3,025800,"4,597",109.3
Brooklyn,047,3,025901,"2,010",101.4
Brooklyn,047,3,025902,"3,419",232.1
Brooklyn,047,3,026000,"3,649",90.7
Brooklyn,047,3,026100,"4,917",99.8
Brooklyn,047,3,026200,"2,374",60.9
Brooklyn,047,3,026300,"1,868",63.2
Brooklyn,047,3,026400,"4,592",98.1
Brooklyn,047,3,026500,"3,838",97.3
